ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube
D134,Lasioglossum,Lasioglossum malachurum,,,Compuesta amarilla,UPO,Female,,No,Cristina,Blue,Left,66,No,Yes,No,12,No,Yes,No,70,8,No,Yes,101,52,No,Yes,9,No,Yes,No,4,24,Yes,No,18,No,Yes,No,31,22,No,Yes,,2.5
D135,Lasioglossum,Lasioglossum malachurum,,,Compuesta amarilla,UPO,Female,,No,Cristina,Blue,Left,68,No,Yes,No,105,No,Yes,No,5,No,Yes,No,NA,NA,NA,NA,6,No,Yes,No,NA,NA,NA,NA,9,No,Yes,No,No,4,No,Yes,,2.5
D136,Bombus,Bombus terrestris,,,Compuesta amarilla,UPO,Female,,Yes,Cristina,Blue,Left,No,52,No,Yes,38,No,Yes,No,3,65,Yes,Yes,117,10,No,Yes,6,35,Yes,Yes,3,23,Yes,Yes,4,32,Yes,Yes,13,6,No,Yes,,2.5
D137,Lasioglossum,Lasioglossum malachurum,,,Compuesta amarilla,UPO,Female,,No,Cristina,Blue,Left,40,27,No,Yes,19,89,Yes,Yes,45,6,No,Yes,44,5,No,Yes,4,15,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,8,No,Yes,No,,2.5
D138,Lasioglossum,Lasioglossum malachurum,,,Compuesta amarilla,UPO,Female,,No,Raquel,Blue,Left,23,64,Yes,Yes,30,9,No,Yes,33,12,No,Yes,9,28,Yes,Yes,44,No,Yes,No,6,No,Yes,No,105,No,Yes,No,22,No,Yes,No,,2.5
D139,Lasioglossum,Lasioglossum malachurum,,,Compuesta amarilla,UPO,Female,,No,Raquel,Blue,Left,7,No,Yes,No,12,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,6,No,Yes,No,14,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,,2.5
D140,Lasioglossum,Lasioglossum malachurum,,,Cardo,UPO,Female,,No,Raquel,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,2.5
D141,Lasioglossum,Lasioglossum malachurum,,,Cardo,UPO,Female,,No,Raquel,Blue,Left,NA,NA,NA,NA,22,44,Yes,Yes,59,28,No,Yes,119,9,No,Yes,24,6,No,Yes,8,No,Yes,No,NA,NA,NA,NA,11,No,Yes,No,,2.5
D142,Bombus,Bombus terrestris,16/05,11:00,Cistus crispus,Bonares,,4.92,No,Cristina,Yellow,Left,70,42,No,Yes,8,61,Yes,Yes,8,19,Yes,Yes,13,43,Yes,Yes,7,No,Yes,No,6,22,Yes,Yes,4,21,Yes,Yes,3,No,Yes,No,Experiment done the day after,2.5
D143,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Male,3.68,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,68,No,Yes,No,6,33,Yes,Yes,8,No,Yes,No,39,63,Yes,Yes,7,48,Yes,Yes,5,28,Yes,Yes,Experiment done the day after,2.5
D144,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Male,3.63,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,14,52,Yes,Yes,21,11,No,Yes,29,87,Yes,Yes,5,30,Yes,Yes,5,24,Yes,Yes,7,No,Yes,No,Experiment done the day after,2.5
D145,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Male,3.6,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,No,Yes,No,Experiment done the day after,2.5
D146,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Female,3.9,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,99,130,Yes,Yes,21,73,Yes,Yes,18,55,Yes,Yes,2,61,Yes,Yes,2,No,Yes,No,2,16,Yes,No,Experiment done the day after,2.5
D147,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Female,3.79,Yes,Cristina,Yellow,Left,76,No,Yes,No,10,27,Yes,Yes,22,64,Yes,Yes,5,12,Yes,Yes,38,41,Yes,Yes,5,33,Yes,Yes,4,17,Yes,Yes,7,No,Yes,No,Experiment done the day after,2.5
D148,Rhodanthidium,Rhodanthidium sticticum,16/05,12:00,Cistus crispus,Niebla,Female,3.9,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,65,No,Yes,No,22,110,Yes,Yes,18,No,Yes,No,7,44,Yes,Yes,15,9,Yes,Yes,5,86,Yes,Yes,5,No,Yes,No,Experiment done the day after,2.5
D149,Lasioglossum,Lasioglossum immunitum,16/05,11:00,,Bonares,Female,,No,Dani,Yellow,Left,No,33,No,Yes,5,No,Yes,No,26,8,No,Yes,9,43,Yes,Yes,15,No,Yes,No,172,52,No,Yes,6,No,Yes,No,NA,NA,NA,NA,Experiment done the day after,2.5
D150,Lasioglossum,Lasioglossum immunitum,16/05,11:00,,Bonares,Female,,No,Dani,Yellow,Left,93,38,No,Yes,13,99,Yes,Yes,28,57,Yes,Yes,10,No,Yes,No,3,121,Yes,Yes,4,No,Yes,No,87,41,No,Yes,NA,NA,NA,NA,Experiment done the day after,2.5
D151,Lasioglossum,Lasioglossum immunitum,16/05,11:00,,Bonares,Female,,No,Dani,Yellow,Left,29,93,Yes,Yes,8,No,Yes,No,29,67,Yes,Yes,28,No,Yes,No,7,No,Yes,No,8,No,Yes,No,21,No,Yes,No,NA,NA,NA,NA,Experiment done the day after,2.5
D152,Rhodanthidium,Rhodanthidium sticticum,22/05/18,14:00,Cistus crispus,Niebla,Female,3.3,Yes,Cristina,Blue,Right,NA,NA,NA,NA,41,No,Yes,No,63,110,Yes,Yes,12,66,Yes,Yes,19,79,Yes,Yes,11,104,Yes,Yes,9,71,Yes,Yes,57,65,Yes,Yes,,2.5
D153,Rhodanthidium,Rhodanthidium sticticum,22/05/18,14:00,Cistus crispus,Niebla,Male,3.7,Yes,Cristina,Blue,Right,19,No,Yes,No,117,6,No,Yes,18,115,Yes,Yes,20,28,Yes,Yes,39,7,No,Yes,47,3,No,Yes,4,39,Yes,Yes,63,5,No,Yes,,2.5
D154,Rhodanthidium,Rhodanthidium sticticum,22/05/18,14:00,Cistus crispus,Niebla,Male,3.9,Yes,Cristina,Blue,Right,14,25,Yes,Yes,5,61,Yes,Yes,24,11,No,Yes,28,10,No,Yes,38,10,No,Yes,7,18,Yes,Yes,38,7,No,Yes,7,18,Yes,Yes,,2.5
D155,Bombus,Bombus terrestris,22/05/18,11:30,Cistus crispus,Urbanizaciones,Male,,No,Cristina,Blue,Right,32,8,No,Yes,10,27,Yes,Yes,2,19,Yes,Yes,21,3,No,Yes,11,29,Yes,Yes,39,No,Yes,No,4,No,Yes,No,29,No,Yes,No,,2.5
D156,Osmia ,Osmia latreillei,22/05/18,14:00,Cardo,Niebla,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,No,Yes,No,,,,,,2.5
D157,Andrena,Andrena hispania,22/05/18,11:30,Cistus crispus,Urbanizaciones,Female,,Yes,Cristina,Yellow,Left,22,No,Yes,No,NA,NA,NA,NA,5,38,Yes,Yes,11,48,Yes,Yes,5,25,Yes,Yes,11,26,Yes,Yes,30,56,Yes,Yes,5,No,Yes,No,Experiment done the day after,2.5
D158,Andrena,,22/05/18,10:30,Cistus crispus,Convento de la Luz,,,,Cristina,Yellow,Left,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experiment done the day after,2.5
D159,Andrena,Andrena cinerea,22/05/18,10:30,Cistus crispus,Convento de la Luz,Female,,No,Cristina,Yellow,Left,53,99,Yes,Yes,33,12,No,Yes,58,153,Yes,Yes,43,No,Yes,No,NA,NA,NA,NA,15,61,Yes,Yes,17,8,No,Yes,41,26,No,Yes,Experiment done the day after,2.5
D160,Panurgus,Panurgus dargius,22/05/18,10:30,Cistus crispus,Convento de la Luz,Male,,Yes,Cristina,Yellow,Left,No,60,No,Yes,22,No,Yes,No,54,37,No,Yes,No,70,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Experiment done the day after,2.5
D161,Flavipanurgus,Flavipanurgus venustus,22/05/18,11:30,Cistus crispus,Urbanizaciones,Male,,No,Cristina,Yellow,Left,NA,NA,NA,NA,No,67,No,Yes,No,80,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Experiment done the day after,2.5
D162,Flavipanurgus,Flavipanurgus venustus,22/05/18,11:30,Cistus crispus,Urbanizaciones,Female,,,Cristina,Yellow,Left,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D163,Lasioglossum,,22/05/18,10:30,Cistus crispus,Convento de la Luz,,,,Cristina,Yellow,Right,No,138,No,Yes,No,30,No,Yes,71,26,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,Experiment done the day after,2.5
D164,Lasioglossum,,22/05/18,10:30,Cistus crispus,Convento de la Luz,,,,Cristina,Yellow,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experiment done the day after,2.5
D165,Lasioglossum,,22/05/18,10:30,Cistus crispus,Convento de la Luz,,,,Cristina,Yellow,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experiment done the day after,2.5
D166,Lasioglossum,,22/05/18,10:30,Cistus crispus,Convento de la Luz,Male,,,Cristina,Yellow,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experiment done the day after,2.5
D167,Rhodanthidium,Rhodanthidium sticticum,28/05/18,,,UPO,Female,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,103,118,Yes,Yes,3,44,Yes,Yes,70,29,No,Yes,45,4,No,Yes,40,17,No,Yes,26,3,No,Yes,24,54,Yes,Yes,,2.5
D168,Rhodanthidium,Rhodanthidium sticticum,28/05/18,,,UPO,Male,,Yes,Cristina,Blue,Right,12,No,Yes,No,NA,NA,NA,NA,13,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,2.5
D169,Bombus,Bombus terrestris,28/05/18,12:00,Colza,UPO,Female,,Yes,Cristina,Yellow,Right,15,133,Yes,Yes,5,47,Yes,Yes,6,48,Yes,Yes,4,8,Yes,Yes,4,7,Yes,Yes,14,10,No,Yes,5,16,Yes,Yes,3,No,Yes,No,,2.5
D170,Bombus,Bombus terrestris,28/05/18,12:00,Cardo,UPO,Female,,Yes,Cristina,Yellow,Right,No,102,No,No,38,88,Yes,Yes,24,9,No,Yes,5,103,Yes,Yes,4,No,Yes,No,8,124,Yes,Yes,6,No,Yes,No,8,No,Yes,No,,2.5
D171,Bombus,Bombus terrestris,28/05/18,12:00,Cardo,UPO,Male,,No,Cristina,Yellow,Right,33,14,No,Yes,18,16,No,Yes,12,5,No,Yes,5,33,Yes,Yes,7,107,Yes,Yes,3,105,Yes,Yes,4,No,Yes,No,5,28,Yes,Yes,,2.5
D172,Bombus,Bombus terrestris,28/05/18,12:00,Amapola,UPO,Female,,Yes,Alex,Yellow,Right,5,83,Yes,Yes,3,37,Yes,Yes,17,6,No,Yes,26,5,No,Yes,3,20,Yes,Yes,3,73,Yes,Yes,4,55,Yes,Yes,2,No,Yes,No,,2.5
D173,Bombus,Bombus terrestris,28/05/18,12:00,Centaurea,UPO,Male,,No,Alex,Yellow,Right,NA,NA,NA,NA,11,65,Yes,Yes,142,128,No,Yes,9,131,Yes,Yes,8,37,Yes,Yes,3,No,Yes,No,7,No,Yes,No,4,No,Yes,No,,2.5
D174,Bombus,Bombus terrestris,28/05/18,12:00,Cardo,UPO,Female,,No,Alex,Yellow,Right,5,50,Yes,Yes,5,40,Yes,Yes,3,23,Yes,Yes,4,24,Yes,Yes,4,69,Yes,Yes,3,37,Yes,No,3,35,Yes,No,7,42,Yes,Yes,,2.5
D175,Bombus,Bombus terrestris,28/05/18,12:00,Cardo,UPO,Female,,Yes,Alex,Yellow,Right,NA,NA,NA,NA,13,No,Yes,No,NA,NA,NA,NA,26,20,No,Yes,4,9,Yes,Yes,5,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,,2.5
D176,Lasioglossum,Lasioglossum immunitum,4/6/18,12:00,,UPO,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,2.5
D177,Megachile??,,4/6/18,12:00,Centaurea,UPO,,,No,Cristina,Blue,Right,NA,NA,NA,NA,No,137,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,2.5
D178,Lasioglossum,Lasioglossum immunitum,4/6/18,12:00,,UPO,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,No,9,No,Yes,12,34,Yes,Yes,NA,NA,NA,NA,37,15,No,Yes,93,50,No,Yes,48,15,No,Yes,33,9,No,Yes,,2.5
D179,Rhodanthidium,Rhodanthidium sticticum,4/6/18,12:00,,UPO,Female,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,No,Yes,No,11,110,Yes,Yes,4,45,Yes,Yes,21,6,No,Yes,7,5,No,Yes,,2.5
D180,Rhodanthidium,Rhodanthidium sticticum,4/6/18,12:00,,UPO,Male,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,55,10,No,Yes,112,5,No,Yes,7,47,Yes,Yes,55,11,No,Yes,No,7,No,Yes,No,5,No,Yes,,2.5
D181,Rhodanthidium,Rhodanthidium sticticum,4/6/18,12:00,,UPO,Female,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,2.5
D182,Rhodanthidium,Rhodanthidium sticticum,5/6/18,11:30,,Carambolo,Male,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,24,15,No,Yes,10,No,Yes,No,8,No,Yes,No,NA,NA,NA,NA,130,No,Yes,No,55,122,Yes,Yes,No,15,No,Yes,,2.5
D183,Rhodanthidium,Rhodanthidium sticticum,5/6/18,11:30,,Carambolo,Male,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,No,Yes,No,No,19,No,Yes,,2.5
D184,Rhodanthidium,Rhodanthidium sticticum,5/6/18,11:30,,Carambolo,Male,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,121,Yes,Yes,91,11,No,Yes,12,3,No,Yes,,2.5
D185,Rhodanthidium,Rhodanthidium sticticum,5/6/18,11:30,,Carambolo,Male,,Yes,Cristina,Yellow,Left,36,No,Yes,No,NA,NA,NA,NA,23,38,Yes,Yes,4,65,Yes,Yes,5,55,Yes,Yes,5,22,Yes,Yes,3,38,Yes,Yes,6,20,Yes,Yes,,2.5
D186,Andrena ,Andrena pilipes,5/6/18,11:30,,Carambolo,Female,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,131,Yes,Yes,4,31,Yes,Yes,6,No,Yes,No,,2.5
D187,Panurgus,,5/6/18,11:30,,Carambolo,,,,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,40,22,No,Yes,24,9,No,Yes,29,11,No,Yes,3,5,Yes,Yes,7,54,Yes,Yes,5,16,Yes,Yes,,2.5
D188,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,,Cristina,Yellow,Left,8,35,Yes,Yes,6,63,Yes,Yes,2,14,Yes,Yes,3,25,Yes,Yes,7,5,No,Yes,1,13,Yes,Yes,8,1,No,Yes,1,5,Yes,Yes,,2.5
D189,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,No,Cristina,Yellow,Left,No,28,No,Yes,8,25,Yes,Yes,13,4,No,Yes,3,16,Yes,Yes,16,9,No,Yes,2,12,Yes,Yes,1,11,Yes,Yes,2,7,Yes,Yes,,2.5
D190,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,,Cristina,Yellow,Left,5,20,Yes,Yes,38,5,No,Yes,3,17,Yes,Yes,16,5,No,Yes,46,5,No,Yes,3,18,Yes,Yes,2,13,Yes,Yes,120,No,Yes,Yes,,2.5
D191,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,Yes,Cristina,Yellow,Left,28,52,Yes,Yes,2,12,Yes,Yes,3,9,Yes,Yes,5,17,Yes,Yes,10,4,No,Yes,1,8,Yes,Yes,1,14,Yes,Yes,2,16,Yes,Yes,,2.5
D192,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,No,Cristina,Blue,Right,23,52,Yes,Yes,No,8,No,Yes,40,6,No,Yes,48,4,No,Yes,4,26,Yes,Yes,1,18,Yes,Yes,10,1,No,Yes,2,No,Yes,No,,2.5
D193,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,No,Cristina,Blue,Right,No,4,No,Yes,NA,NA,NA,NA,5,33,Yes,Yes,8,21,Yes,Yes,2,19,Yes,Yes,1,12,Yes,Yes,1,16,Yes,Yes,1,8,Yes,Yes,,2.5
D194,Apis,Apis mellifera,7/6/18,11:00,,Carambolo,Female,,,Cristina,Blue,Right,51,71,Yes,Yes,2,27,Yes,Yes,3,61,Yes,Yes,5,78,Yes,Yes,5,28,Yes,Yes,1,15,Yes,Yes,13,2,No,Yes,17,No,Yes,No,,2.5
D195,Flavipanurgus,Flavipanurgus venustus,12/6/18,12:00,,Urbanizaciones,Female,,No,MAC,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,95,Yes,Yes,NA,NA,NA,NA,169,98,No,Yes,89,54,No,Yes,90,25,No,Yes,,2.5
D196,Flavipanurgus,Flavipanurgus venustus,12/6/18,12:00,,Urbanizaciones,Female,,No,MAC,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,2.5
D197,Flavipanurgus,Flavipanurgus venustus,12/6/18,12:00,,Urbanizaciones,Male,,No,MAC,Blue,Right,172,31,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,Yes,No,17,No,Yes,No,93,No,Yes,No,16,No,Yes,No,NA,NA,NA,NA,,2.5